0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:19:17 +0530] "GET /Automation/admin_home.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:20:12 +0530] "GET /Automation/admin_seat_arrangement.jsp HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:21:12 +0530] "GET /Automation/admin_new_invigilator.jsp HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:21:20 +0530] "GET /Automation/admin_home.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:21:25 +0530] "GET /Automation/admin_exam_schedule.jsp HTTP/1.1" 200 6644
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:21:26 +0530] "GET /Automation/admin_exam_schedule.jsp HTTP/1.1" 200 6644
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:21:29 +0530] "GET /Automation/admin_home.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:21:30 +0530] "GET /Automation/admin_exam_schedule.jsp HTTP/1.1" 200 6644
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:23:50 +0530] "GET /Automation/LogoutAction HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:23:54 +0530] "GET /Automation/user_login.jsp HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:26:29 +0530] "GET /Automation/admin_login.jsp HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:26:39 +0530] "POST /Automation/AdminLoginAction HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:27:34 +0530] "GET /Automation/admin_seat_arrangement.jsp HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:27:47 +0530] "GET /Automation/admin_new_invigilator.jsp HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:29:50 +0530] "GET /Automation/LogoutAction HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:29:53 +0530] "GET /Automation/user_login.jsp HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:30:02 +0530] "POST /Automation/LoginAction HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:30:04 +0530] "GET /Automation/ViewStudentExamnationSch HTTP/1.1" 200 6167
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:30:08 +0530] "GET /Automation/ViewStudentSeatingArangementAction HTTP/1.1" 200 5365
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:32:43 +0530] "GET /Automation/LogoutAction HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:32:45 +0530] "GET /Automation/admin_login.jsp HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:33:04 +0530] "POST /Automation/AdminLoginAction HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:33:06 +0530] "GET /Automation/admin_exam_schedule.jsp HTTP/1.1" 200 6644
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:34:29 +0530] "GET /Automation/admin_exam_schedule.jsp HTTP/1.1" 200 6644
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:34:33 +0530] "GET /Automation/admin_seat_arrangement.jsp HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:34:35 +0530] "GET /Automation/admin_new_invigilator.jsp HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:34:37 +0530] "GET /Automation/admin_seat_arrangement.jsp HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:37:31 +0530] "GET /Automation/LogoutAction HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:37:37 +0530] "GET /Automation/invigilator_login.jsp HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:38:32 +0530] "POST /Automation/InvigilatorLoginAction HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:38:32 +0530] "GET /Automation/img/replicastnetwork.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:38:35 +0530] "GET /Automation/ViewInvgExamnationSch HTTP/1.1" 200 6823
0:0:0:0:0:0:0:1 - - [28/Apr/2016:11:38:40 +0530] "GET /Automation/ViewInvigilatorStatusAction HTTP/1.1" 200 6018
